event_category,event_action,event_label,total_events,unique_events
city_landing,filters-categories_click,Moscow / Гастрономические,85,67
City Page,Page Visit,Belokurikha,123,110
city_landing,clear_filter_mobile,Yalta,32,26
city_landing,price_button_submit,Rostov-on-Don / Показать предложения (46),3,3
city_landing,pay-type_checkbox,Hurghada / Оплата на місці (без передоплати),1,1
city_landing,search-tools-button_open,Tbilisi / Пешеходные,2,2
city_landing,price_button_submit,Kyiv / Показать предложения (14),6,6
city_landing,filters-categories_click,Moscow / Литература и искусство,1,1
city_landing,price_button_submit,Nalchik / Показать предложения (26),12,10
city_landing,filters-categories_click,Sevastopol / Обзорные,176,134
city_landing,filters-categories_click,Lisbon / Индивидуальные,7,6
city_landing,search-tools-button_open,Sharjah / Сначала самые дешевые,1,1
city_landing,search-tools-button_open,Vyborg / Фильтры Выбрано: 0,8,8
city_landing,price_button_submit,Sochi / Показать предложения (280),2,2
city_landing,price_button_submit,Kyiv / Показать предложения (8),11,11
city_landing,search-tools-button_open,Kazan / По рейтингу,285,266
city_landing,price_button_submit,Saint Petersburg / Показать предложения (239),2,2
city_landing,price_button_submit,Hévíz / Показать предложения (4),1,1
city_landing,ticket-type_checkbox,Cairo / Групповая,27,21
city_landing,filters-categories_click,Berlin / По пригородам,4,3
city_landing,price_button_submit,Sharm-el-Sheikh / Показать предложения (56),2,2
city_landing,price_button_submit,Simeiz / Показать предложения (6),1,1
city_landing,search-tools-button_open,Side / за рейтингом,1,1
city_landing,filters-categories_click,Anapa / Винодельни,54,44
city_landing,price_button_submit,Yalta / Показать предложения (17),44,42
city_landing,filters-categories_click,Yessentuki / Автобусные,37,33
city_landing,price_button_submit,Moscow / Показать предложения (99),11,10
city_landing,filters-categories_click,Sudak / Сначала самые дешевые,14,13
city_landing,search-tools-button_open,Moscow / По бункерам,4,3
city_landing,price_button_submit,Kazan / Показать предложения (15),25,22
city_landing,search-tools-button_open,Saint Petersburg / Категории Тематические экскурсии,1,1
city_landing,filters-categories_click,Baikal / Для детей,1,1
city_landing,filters-categories_click,Vienna / Автобусные,4,3
city_landing,search-tools-button_open,Rodos / Категории,4,4
city_landing,price_button_submit,Belgrade / Показать предложения (18),1,1
city_landing,search-tools-button_open,Petrozavodsk / Сортировка,35,32
city_landing,price_button_submit,Svetlogorsk / Показать предложения (7),7,7
city_landing,search-tools-button_open,Krakow / Фильтры Выбрано: 0,2,2
city_landing,search-tools-button_open,Rome / ЭКСКУРСИИ ПО РИМУ НА РУССКОМ,2,2
